id_config,registrado_em,par,direcao,score_mestre,qualidade,indice_operacional,h4,h1,m15,candle_m15,preco_entrada,fonte_preco,versao,status_validacao,preco_1h,retorno_1h_pct,acertou_1h,preco_4h,retorno_4h_pct,acertou_4h,preco_24h,retorno_24h_pct,acertou_24h
USDCHF_20260913T212857722715Z,2026-09-13T21:28:57.722844+00:00,USD/CHF,COMPRA USD/CHF,93.0,84%,79.8,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,2026-09-13 21:15:00+00:00,0.8166,Twelve Data M15,V9.3.7,VALIDADO 1H/4H/24H,0.81669,0.0110213078618803,True,0.81717,0.0698016164584869,True,0.81705,0.0551065393093352,True
USDCHF_20260914T022449772420Z,2026-09-14T02:24:49.772576+00:00,USD/CHF,COMPRA USD/CHF,93.0,84%,64.8,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,2026-09-14 02:15:00+00:00,0.8174,Twelve Data M15,V9.3.7,VALIDADO 1H/4H/24H,0.8181,0.0856373868363125,True,0.81842,0.1247859065329093,True,0.81815,0.0917543430388967,True
USDCHF_20260914T025200022665Z,2026-09-14T02:52:00.022784+00:00,USD/CHF,COMPRA USD/CHF,93.0,84%,64.8,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,2026-09-14 02:45:00+00:00,0.81781,Twelve Data M15,V9.3.7,VALIDADO 1H/4H/24H,0.81833,0.0635844511561289,True,0.81874,0.1137183453369328,True,0.81813,0.039128893019158,True
USDCAD_20260914T062008846832Z,2026-09-14T06:20:08.846999+00:00,USD/CAD,COMPRA USD/CAD,93.0,84%,64.8,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,2026-09-14 06:15:00+00:00,1.38765,Twelve Data M15,V9.3.7,VALIDADO 1H/4H/24H,1.3876,-0.0036032140669606,False,1.38955,0.1369221345440152,True,1.39094,0.2370914856051564,True
USDCAD_20260914T121604022753Z,2026-09-14T12:16:04.022893+00:00,USD/CAD,COMPRA USD/CAD,93.0,84%,60.0,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,2026-09-14 12:00:00+00:00,1.3893,Twelve Data M15,V9.3.7,VALIDADO 1H/4H/24H,1.3917,0.1727488663355592,True,1.3909,0.1151659108903802,True,1.39218,0.207298639602671,True
USDCHF_20260915T003500477163Z,2026-09-15T00:35:00.477291+00:00,USD/CHF,COMPRA USD/CHF,93.0,84%,69.0,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,,,Twelve Data M15,V9.3.7,PENDENTE,,,,,,,,,
EURUSD_20260915T015012630504Z,2026-09-15T01:50:12.630612+00:00,EUR/USD,VENDA EUR/USD,91.0,66%,64.6,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,,,Twelve Data M15,V9.3.7,PENDENTE,,,,,,,,,
USDCHF_20260915T062853829921Z,2026-09-15T06:28:53.830068+00:00,USD/CHF,COMPRA USD/CHF,93.0,84%,64.8,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,2026-09-15 06:15:00+00:00,0.81851,Twelve Data M15,V9.3.7,PARCIAL 1H,0.8175,-0.1233949493592012,False,,,,,,
USDCAD_20260917T094814967552Z,2026-09-17T09:48:14.967683+00:00,USD/CAD,COMPRA USD/CAD,89.0,91%,84.8,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,2026-09-17 09:45:00+00:00,1.39909,Twelve Data M15,V9.3.7,PENDENTE,,,,,,,,,
USDCAD_20260917T112132716417Z,2026-09-17T11:21:32.716653+00:00,USD/CAD,COMPRA USD/CAD,89.0,91%,84.8,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,2026-09-17 11:15:00+00:00,1.39973,Twelve Data M15,V9.3.7,PENDENTE,,,,,,,,,
USDCAD_20260918T005035556295Z,2026-09-18T00:50:35.556385+00:00,USD/CAD,COMPRA USD/CAD,89.0,91%,93.8,🟢 CONFIRMA,🟢 PULLBACK OK,🟢 GATILHO,,,Twelve Data M15,V9.3.7,PENDENTE,,,,,,,,,
